resultados,indicadores,cursos
Personas familia y comunidades con capacidad de agencia y prÿcticas para el cuidado de su salud,Proporcion de personas con capacidad de agencia para el cuidado de su salud y su desarrollo,ADOLESCENCIA- JUVENTUD -ADULTEZ Y VEJEZ 
Personas familia y comunidades con capacidad de agencia y prÿcticas para el cuidado de su salud,Proporcion de personas que desarrollan prÿcticas para el cuidado de su salud y su desarrollo,ADOLESCENCIA- JUVENTUD -ADULTEZ Y VEJEZ 
Personas familia y comunidades con capacidad de agencia y prÿcticas para el cuidado de su salud,Prevalencia de cumplir recomendaciones actividad fisica *,TODOS CURSOS DE VIDA 
Personas familia y comunidades con capacidad de agencia y prÿcticas para el cuidado de su salud,Proporcion de personas cuidadoras que identifican signos de alarma o complicaciones en el estado de salud de los ni¤os y ni¤as,ADULTEZ Y VEJEZ 
Personas cuidadoras cuidadores con practicas,Personas cuidadoras cuidadores con practicas seguras,ADULTEZ Y VEJEZ 
Personas con prÿcticas para el cuidado y proteccion de los entornos,Entornos abordados desde el PIC con condiciones fisicas sociales y ambientales que protegen y promueven la salud *,ADULTEZ Y VEJEZ 
Personas familias y comunidades que habitan laboran y estudian en entornos saludables,Organizaciones de base comunitaria redes comunitarias comunidades u otras formas organizativas en salud que implementan iniciativas comunitarias para la promocion de la salud y gestion integral del riesgo en salud,ADOLESCENCIA- JUVENTUD -ADULTEZ -VEJEZ 
Personas familias y comunidades que habitan laboran y estudian en entornos saludables,Proporcion de personas cuidadoras que conocen los derechos de los ni¤os y ni¤as y las formas de exigirlos,ADULTEZ Y VEJEZ 
Personas familias y comunidades empoderadas para la exigibilidad y ejercicio del derecho a la vida y la salud,Proporcion de personas que conocen sus derechos y las formas de exigirlos,ADOLESCENCIA-JUVENTUD ADULTEZ Y VEJEZ 
Personas familias y comunidades empoderadas para la exigibilidad y ejercicio del derecho a la vida y la salud,Proporcion de hombres con diagnostico de cÿncer de prostata segun estadio clinico,ADULTEZ Y VEJEZ 
Personas familias y comunidades empoderadas para la exigibilidad y ejercicio del derecho a la vida y la salud,Proporcion de mujeres con lesiones precÿncerosas del cuello uterino (Lesion intraepitelial escamosa de alto grado o NIC II NIC III o Carcinoma InSitu) y Adenocarcinoma endocervical in situ,ADOLESCENCIA -JUVENTUD ADULTEZ Y VEJEZ (INICIO DE VIDA SEXUAL 
,,
Personas con deteccion temprana de alteraciones y riesgos en salud,Proporcion de mujeres diagnosticadas con cÿncer de mama segun estadio clinico,ADULTEZ Y VEJEZ 
Personas con deteccion temprana de alteraciones y riesgos en salud,Proporcion de pacientes con diagnostico de cÿncer de colon y recto segun estadio clinico,ADULTEZ Y VEJEZ 
Personas que se desarrollan adecuadamente desde el punto de vista fisico- motor socio-emocional y cognitivo,Proporcion de personas con atencion integral de acuerdo al esquema definido,TODOS CURSOS DE VIDA 
,,
Personas que se desarrollan adecuadamente desde el punto de vista fisico- motor socio-emocional y cognitivo,Cobertura de personas con atencion por enfermeria medicina general o especializada de acuerdo al esquema definido,TODOS CURSOS DE VIDA 
,,
Personas que se desarrollan adecuadamente desde el punto de vista fisico- motor socio-emocional y cognitivo,Proporcion de ni¤as y ni¤os en primera infancia clasificados con riesgo o sospecha de problemas en el desarrollo con seguimiento,TODOS CURSOS DE VIDA 
,,
Personas que se desarrollan adecuadamente desde el punto de vista fisico- motor socio-emocional y cognitivo,Proporcion de personas que asisten a sesiones educativas grupales segun finalidad,TODOS CURSOS DE VIDA 
Personas que se desarrollan adecuadamente desde el punto de vista fisico- motor socio-emocional y cognitivo,Proporcion de personas cuidadoras que asisten a sesiones educativas grupales segun finalidad,TODOS CURSOS DE VIDA 
Personas que se desarrollan adecuadamente desde el punto de vista fisico- motor socio-emocional y cognitivo,Proporcion de personas que cumplen con dos ciclos educativos por momento de curso de vida,TODOS CURSOS DE VIDA 
Personas que se desarrollan adecuadamente desde el punto de vista fisico- motor socio-emocional y cognitivo,Proporcion de personas que asisten a sesiones educativas individuales segun finalidad,TODOS CURSOS DE VIDA 
Ni¤as y ni¤os alimentados exclusivamente con lactancia materna hasta,,
Personas adultas mayores que conservan,,
Personas adultas mayores que conservan la independencia funcional ,Cobertura de personas con atencion,
integral de acuerdo al esquema definido,VEJEZ ,
Personas adultas mayores que conservan la independencia funcional ,Cobertura de personas con atencion por enfermeria medicina general o,
especializada de acuerdo al esquema definido,TODOS CURSOS DE VIDA ,
Personas adultas mayores que conservan la independencia funcional ,Proporcion de adultos mayores identificados con fragilidad,VEJEZ 
Personas con adecuado estado nutricional de acuerdo a su edad,Proporcion de personas con valoracion antropom‚trica,PRIMERA -INFANCIA 
Personas con adecuado estado nutricional de acuerdo a su edad,Proporcion de ni¤os entre los 6 y 24 meses de edad con suministro de micronutrientes en polvo,PRIMERA INFANCIA 
Personas con adecuado estado nutricional de acuerdo a su edad,Proporcion de ni¤os entre 30 y 60 meses con suministro de vitamina A,PRIMERA INFANCIA 
Personas con adecuado estado nutricional de acuerdo a su edad,Proporcion de ni¤os entre 30 y 60 meses con suplementacion con sulfato ferroso,PRIMERA INFANCIA 
Personas con adecuado estado nutricional de acuerdo a su edad,Cobertura de desparasitacion antihelmintica en ni¤os de 1 a 5 a¤os,PRIMERA INFANCIA 
Personas con adecuado estado nutricional de acuerdo a su edad,Cobertura de desparasitacion,
antihelmintica en ni¤os de 5 a 14 a¤os,INFANCIA -ADOLESCENCIA ,
Personas con adecuado estado nutricional de acuerdo a su edad,Proporcion de mujeres de 10 a 17 a¤os a quienes se realizo tamizaje de hemoglobina y se detecto anemia,INFANCIA -ADOLESCENCIA 
Personas sin morbilidad evitable,Cobertura de vacunacion con BCG,PRIMERA INFANCIA 
Personas sin morbilidad evitable,Cobertura de vacunacion contra neumococo (dos dosis),PRIMERA INFANCIA 
Personas sin morbilidad evitable,Cobertura de vacunacion de la tercera dosis de pentavalente en ni¤os y ni¤as menores de un a¤o,PRIMERA INFANCIA 
Personas sin morbilidad evitable,Cobertura de vacunacion contra triple viral en ni¤os y ni¤as de 1 a¤o,PRIMERA INFANCIA 
Personas sin morbilidad evitable,Cobertura de vacunacion contra hepatitis A en ni¤os y ni¤as de 1 a¤o,PRIMERA INFANCIA 
Personas sin morbilidad evitable,Cobertura de vacunacion para varicela en ni¤os y ni¤as de 1 a¤o,PRIMERA INFANCIA 
Personas sin morbilidad evitable,Cobertura de vacunacion para refuerzo de triple viral,PRIMERA INFANCIA 
Personas sin morbilidad evitable,Proporcion de ni¤os y ni¤as con esquema completo de vacunacion,PRIMERA INFANCIA 
Personas con adecuado estado de salud visual,Proporcion de personas con tamizaje de agudeza visual,TODOS CURSOS DE VIDA 
Personas con adecuado estado de salud auditiva y comunicativa,Proporcion de personas con tamizaje auditivo con instrumento VALE,PRIMERA INFANCIA 
Personas con adecuado estado de salud auditiva y comunicativa,Proporcion de ni¤os con riesgo otologico o auditivo identificado a quienes se les realiza manejo segun lo establecido en la RIAS de grupo de riesgo para las enfermedades del oido alteraciones de la audicion y la,
comunicacion,PRIMERA INFANCIA ,
Personas con adecuado estado de salud bucal,Cobertura de personas con valoracion de la salud bucal de acuerdo al esquema definido,TODOS CURSOS DE VIDA 
Personas con adecuado estado de salud bucal,Cobertura de aplicacion semestral de fluor (barniz),PRIMERA INFANCIA 
Personas con adecuado estado de salud bucal,Cobertura de control de placa bacteriana,PRIMERA INFANCIA 
Personas con adecuado estado de salud bucal,Proporcion de personas a quienes se realiza detartraje supragingival,PRIMERA INFANCIA 
Personas con adecuado estado de salud bucal,Proporcion de personas a quienes se aplica sellantes de fotocurado,PRIMERA INFANCIA 
Personas que ejercen sus derechos sexuales y reproductivos,Proporcion de personas con asesoria en anticoncepcion,PRIMERA INFANCIA 
Personas que ejercen sus derechos sexuales y reproductivos,Proporcion de personas atendidas en los servicios de salud con suministro de anticonceptivos por tipo de m‚todo,PRIMERA INFANCIA 
Personas familias y comunidades con,,
tamizacion para el cÿncer de cuello uterino y reclaman el resultado,ADOLESCENCIA-JUVENTUD ADULTEZ Y VEJEZ ,
Personas familias y comunidades empoderadas para la exigibilidad y ejercicio del derecho a la vida y la salud,Proporcion de personas que conocen sus derechos y las formas de exigirlos,TODOS CURSOS DE VIDA 
Personas familias y comunidades empoderadas para la exigibilidad y ejercicio del derecho a la vida y la salud,Proporcion de padres y cuidadores que conocen los derechos de los ni¤os y ni¤as y las formas de exigirlos,TODOS CURSOS DE VIDA 
Personas con deteccion temprana de alteraciones y riesgos en salud,Proporcion de mujeres entre 25 y 65 a¤os tamizadas para cÿncer de cuello uterino con cualquier prueba de tamizacion,JUVENTUD  ADULTEZ Y VEJEZ 
Personas con deteccion temprana de alteraciones y riesgos en salud,Proporcion de mujeres con tamizaje de cÿncer de cuello uterino (pruebas ADN-VPH) segun esquema,ADULTEZ
Personas con deteccion temprana de alteraciones y riesgos en salud,Proporcion de mujeres de 30 a 65 a¤os con resultados de la prueba,
ADN-VPH positiva a quienes se les realizo citologia de triage,ADULTEZ Y VEJEZ,
Personas con deteccion temprana de alteraciones y riesgos en salud,Proporcion de mujeres de 30 a 50 a¤os residentes en ÿreas dispersas tamizadas con t‚cnicas de inspeccion visual en los ultimos tres a¤os,ADULTEZ 
Personas con deteccion temprana de alteraciones y riesgos en salud,Proporcion de mujeres con t‚cnicas de inspeccion visual positiva a quienes se realiza colposcopia y/o,
biopsia,ADULTEZ Y VEJEZ ,
Personas con deteccion temprana de alteraciones y riesgos en salud,Proporcion de mujeres con citologia anormal o citologia de triage anormal a quienes se realizo colposcopia y,
biopsia,ADULTEZ Y VEJEZ ,
Personas con deteccion temprana de alteraciones y riesgos en salud,Proporcion de mujeres con citologia cervicouterina anormal citologia de triage anormal o t‚cnicas de inspeccion visual positiva remitidas que cumplen el estÿndar de 30 dias para la toma de colposcopia y/o,
biopsia,ADULTEZ Y VEJEZ ,
Personas con deteccion temprana de alteraciones y riesgos en salud,Oportunidad en la confirmacion diagnostica de las lesiones precancerosas o cÿncer infiltrante del cuello uterino,ADULTEZ Y VEJEZ 
Personas con deteccion temprana de alteraciones y riesgos en salud,Proporcion de mujeres entre 30 y 50 a¤os positivas a la inspeccion visual con ÿcido ac‚tico y lugol que recibieron tratamiento inmediato con m‚todo ablativo o de escision,ADULTEZ 
Personas con deteccion temprana de alteraciones y riesgos en salud,Proporcion de mujeres entre 40 y 69 a¤os tamizadas con examen clinico de la mama en el ultimo a¤o,ADULTEZ Y VEJEZ 
Personas con deteccion temprana de alteraciones y riesgos en salud,Proporcion de mujeres entre 50 y 69 a¤os tamizadas para cÿncer de mama,
con mamografia en los ultimos dos a¤os,ADULTEZ Y VEJEZ ,
Personas con deteccion temprana de alteraciones y riesgos en salud,Proporcion  de  mujeres  con mamografia reportada como Birards 4 o mÿs que cumplen con el estÿndar,
